link_dict:time,link_dict:loss,link_dict:bg_power,link_dict:wavelength,link_dict:wavelength_range,hardware_dict:clock_rate,hardware_dict:reciever_losses,hardware_dict:ec_efficency,hardware_dict:dark_counts,hardware_dict:detector_error,hardware_dict:detector_time,hardware_dict:background_qber,protocol_dict:name,protocol_dict:internals:signal_strength,protocol_dict:internals:decoy_strength,protocol_dict:internals:N_0,protocol_dict:internals:N_sig,protocol_dict:internals:N_dec_z,protocol_dict:internals:N_dec_x,protocol_dict:internals:prob_z,protocol_dict:internals:sigma,result:key_rate,result:qber,result:gain
360,16.993987975951903,-110,1550,0.1,1800000000.0,9,1.0,500,0.01,4e-10,0.5,bias_decoy_weak_vac_fin,0.5,0.1,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.8,5,0.00011041865670138232,0.010384036878984135,0.0012578771152560453
360,17.074148296593187,-110,1550,0.1,1800000000.0,9,1.0,500,0.01,4e-10,0.5,bias_decoy_weak_vac_fin,0.5,0.1,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.8,5,0.000108353844669416,0.010391180892521761,0.001234904901349032
360,17.154308617234467,-110,1550,0.1,1800000000.0,9,1.0,500,0.01,4e-10,0.5,bias_decoy_weak_vac_fin,0.5,0.1,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.8,5,0.00010632705370731389,0.010398457777515076,0.0012123522961487998
360,17.23446893787575,-110,1550,0.1,1800000000.0,9,1.0,500,0.01,4e-10,0.5,bias_decoy_weak_vac_fin,0.5,0.1,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.8,5,0.00010433758570879341,0.010405870001176154,0.0011902116443428534
360,17.314629258517034,-110,1550,0.1,1800000000.0,9,1.0,500,0.01,4e-10,0.5,bias_decoy_weak_vac_fin,0.5,0.1,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.8,5,0.00010238475537768266,0.010413420076373539,0.0011684754299474687
360,17.394789579158317,-110,1550,0.1,1800000000.0,9,1.0,500,0.01,4e-10,0.5,bias_decoy_weak_vac_fin,0.5,0.1,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.8,5,0.00010046788999297783,0.010421110562475239,0.0011471362737836
360,17.474949899799597,-110,1550,0.1,1800000000.0,9,1.0,500,0.01,4e-10,0.5,bias_decoy_weak_vac_fin,0.5,0.1,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.8,5,9.858632917725348e-05,0.010428944066204267,0.0011261869309985295
360,17.55511022044088,-110,1550,0.1,1800000000.0,9,1.0,500,0.01,4e-10,0.5,bias_decoy_weak_vac_fin,0.5,0.1,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.8,5,9.673942467066509e-05,0.010436923242505631,0.0011056202886322586
360,17.635270541082164,-110,1550,0.1,1800000000.0,9,1.0,500,0.01,4e-10,0.5,bias_decoy_weak_vac_fin,0.5,0.1,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.8,5,9.492654010785175e-05,0.010445050795432063,0.0010854293632269751
360,17.715430861723448,-110,1550,0.1,1800000000.0,9,1.0,500,0.01,4e-10,0.5,bias_decoy_weak_vac_fin,0.5,0.1,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.8,5,9.314705079999909e-05,0.010453329479047695,0.0010656072984798204
